researcher_id,coauthor_count,shared_paper_strength,fractional_collaboration_strength,component,component_size,in_giant_component,community
ur.01001114547.54,12,13.0,1.9999999,0,59091,True,51
ur.010011166022.27,10,10.0,1.0,0,59091,True,69
ur.01001120001.54,74,74.0,1.0,0,59091,True,13
ur.01001126650.64,19,38.0,1.9999998,0,59091,True,4
ur.010011313153.69,31,33.0,1.9999998,0,59091,True,3
ur.01001132347.74,73,197.0,20.999998,0,59091,True,9
ur.01001133105.93,16,32.0,6.0,0,59091,True,69
ur.01001136410.43,11,11.0,1.0000001,0,59091,True,19
ur.01001147361.74,13,26.0,2.0,0,59091,True,6
ur.010011512337.03,6,6.0,1.0,0,59091,True,60
ur.01001161274.32,8,8.0,0.99999994,0,59091,True,58
ur.01001165057.78,8,8.0,0.99999994,0,59091,True,14
ur.010011701461.64,9,9.0,1.0000001,0,59091,True,49
ur.010011720125.76,957,957.0,0.9999998,0,59091,True,5
ur.010011751520.41,25,61.0,8.0,0,59091,True,32
ur.010011777502.87,11,11.0,1.0000001,0,59091,True,33
ur.01001201065.43,11,11.0,1.0000001,0,59091,True,6
ur.01001203124.14,15,15.0,0.99999994,0,59091,True,37
ur.01001204116.77,8,8.0,0.99999994,0,59091,True,64
ur.01001204671.96,14,14.0,0.99999976,0,59091,True,1
ur.01001205233.91,59,59.0,1.0000001,0,59091,True,16
ur.010012053657.17,13,13.0,1.0,0,59091,True,1
ur.01001212626.22,32,49.0,2.0,0,59091,True,22
ur.01001216317.23,30,68.0,2.9999998,0,59091,True,60
ur.010012211100.61,13,13.0,1.0,0,59091,True,11
ur.010012323237.41,15,47.0,5.0,29,35,False,98
ur.010012331527.65,28,89.0,15.0,0,59091,True,30
ur.010012424725.30,11,11.0,1.0000001,0,59091,True,36
ur.010012437317.09,13,13.0,1.9999998,0,59091,True,21
ur.010012530170.39,2,2.0,0.99999994,0,59091,True,21
ur.010012531362.46,32,40.0,5.0,0,59091,True,12
ur.010012617237.52,82,82.0,1.0,0,59091,True,8
ur.010012634261.57,14,14.0,0.99999976,0,59091,True,49
ur.01001267226.71,5,10.0,1.9999999,0,59091,True,3
ur.010012720645.45,19,126.0,20.0,0,59091,True,13
ur.01001274055.46,47,47.0,1.0,0,59091,True,1
ur.010013066630.30,1570,1570.0,1.0000001,0,59091,True,5
ur.01001307527.28,613,1168.0,5.0,0,59091,True,1
ur.01001310071.51,23,23.0,2.0,0,59091,True,21
ur.01001311770.62,24,43.0,3.0,0,59091,True,17
ur.010013127357.22,21,21.0,1.0,0,59091,True,10
ur.01001315423.92,141,147.0,3.0,0,59091,True,1
ur.010013160373.41,2,4.0,1.9999999,30,3,False,1450
ur.01001316061.24,14,16.0,2.0,0,59091,True,48
ur.01001321307.92,4,4.0,1.0,31,5,False,906
ur.01001324722.89,606,1254.0,23.000004,0,59091,True,1
ur.010013253341.96,8,8.0,0.99999994,32,9,False,380
ur.010013333260.30,48,48.0,0.99999976,0,59091,True,19
ur.010013356455.38,6,10.0,1.9999998,33,20,False,142
ur.010013376440.51,1,1.0,1.0,34,2,False,1542
ur.01001340370.36,15,15.0,0.99999994,35,43,False,90
ur.01001341525.14,148,148.0,1.0,0,59091,True,7
ur.010013427377.21,13,13.0,1.0,36,14,False,206
ur.01001347327.42,88,105.0,5.0,0,59091,True,7
ur.01001350022.24,7,7.0,0.99999994,0,59091,True,24
ur.01001350604.05,6,6.0,1.0,37,19,False,145
ur.010013525674.15,6,6.0,1.0,38,7,False,544
ur.010013612572.07,7,7.0,0.99999994,0,59091,True,33
ur.01001364650.66,28,28.0,0.9999999,0,59091,True,4
ur.010013655372.34,4,4.0,1.0,39,5,False,952
ur.010013700714.87,4,4.0,1.0,40,5,False,922
ur.01001370400.17,13,13.0,1.0,0,59091,True,23
ur.01001370726.44,26,26.0,1.0000001,0,59091,True,8
ur.010013721067.17,3,3.0,0.99999994,0,59091,True,19
ur.010013762726.32,44,44.0,0.99999994,0,59091,True,24
ur.01001402050.54,5,9.0,2.0,41,6,False,794
ur.010014031634.19,189,277.0,2.0,0,59091,True,7
ur.010014033762.69,5,5.0,0.99999994,0,59091,True,26
ur.010014061626.31,6,6.0,1.0,0,59091,True,34
ur.010014061734.70,71,71.0,1.0000001,0,59091,True,3
