coauthor_count,n_authors,author_share_percent,survival_percent
156,15,0.021664716842150874,13.124485462974999
157,32,0.046218062596588526,13.102820746132847
158,24,0.0346635469474414,13.05660268353626
159,35,0.05055100596501871,13.021939136588818
160,33,0.04766237705273192,12.971388130623799
161,19,0.02744197466672444,12.923725753571068
162,35,0.05055100596501871,12.896283778904342
163,169,0.24408914308823318,12.845732772939325
164,71,0.1025463263861808,12.601643629851091
165,17,0.024553345754437655,12.49909730346491
166,25,0.03610786140358479,12.474543957710473
167,17,0.024553345754437655,12.438436096306887
168,16,0.023109031298294263,12.41388275055245
169,18,0.025997660210581048,12.390773719254156
170,53,0.07654866617559976,12.364776059043574
171,21,0.030330603579011222,12.288227392867975
172,19,0.02744197466672444,12.257896789288964
173,21,0.030330603579011222,12.23045481462224
174,28,0.04044080477201496,12.200124211043228
175,41,0.059216892701879055,12.159683406271213
176,18,0.025997660210581048,12.100466513569334
177,12,0.0173317734737207,12.074468853358754
178,70,0.10110201193003741,12.057137079885033
179,15,0.021664716842150874,11.956035067954994
180,19,0.02744197466672444,11.934370351112845
181,31,0.04477374814044514,11.90692837644612
182,17,0.024553345754437655,11.862154628305674
183,89,0.12854398659676183,11.837601282551237
184,77,0.11121221312304115,11.709057295954475
185,55,0.07943729508788654,11.597845082831434
186,19,0.02744197466672444,11.518407787743547
187,24,0.0346635469474414,11.490965813076823
188,41,0.059216892701879055,11.456302266129383
189,49,0.07077140835102619,11.397085373427503
190,19,0.02744197466672444,11.326313965076476
191,30,0.04332943368430175,11.298871990409753
192,16,0.023109031298294263,11.25554255672545
193,18,0.025997660210581048,11.232433525427156
194,55,0.07943729508788654,11.206435865216575
195,10,0.014443144561433915,11.126998570128688
196,27,0.038996490315871574,11.112555425567255
197,16,0.023109031298294263,11.073558935251382
198,60,0.0866588673686035,11.050449903953089
199,21,0.030330603579011222,10.963791036584485
200,27,0.038996490315871574,10.933460433005473
201,18,0.025997660210581048,10.894463942689603
202,16,0.023109031298294263,10.868466282479021
203,47,0.0678827794387394,10.845357251180728
204,18,0.025997660210581048,10.777474471741987
205,24,0.0346635469474414,10.751476811531406
206,12,0.0173317734737207,10.716813264583966
207,25,0.03610786140358479,10.699481491110244
208,13,0.01877608792986409,10.66337362970666
209,12,0.0173317734737207,10.644597541776795
210,32,0.046218062596588526,10.627265768303076
211,21,0.030330603579011222,10.581047705706487
212,40,0.05777257824573566,10.550717102127475
213,31,0.04477374814044514,10.49294452388174
214,31,0.04477374814044514,10.448170775741294
215,20,0.02888628912286783,10.40339702760085
216,22,0.031774918035154615,10.374510738477982
217,19,0.02744197466672444,10.342735820442828
218,14,0.02022040238600748,10.315293845776102
219,15,0.021664716842150874,10.295073443390095
220,14,0.02022040238600748,10.273408726547943
221,6,0.00866588673686035,10.253188324161936
222,14,0.02022040238600748,10.244522437425076
223,13,0.01877608792986409,10.224302035039068
224,16,0.023109031298294263,10.205525947109205
225,29,0.04188511922815835,10.18241691581091
226,10,0.014443144561433915,10.140531796582753
227,14,0.02022040238600748,10.126088652021318
228,117,0.1689847913687768,10.10586824963531
229,29,0.04188511922815835,9.936883458266534
230,17,0.024553345754437655,9.894998339038375
231,41,0.059216892701879055,9.870444993283938
232,47,0.0678827794387394,9.811228100582058
233,15,0.021664716842150874,9.74334532114332
234,17,0.024553345754437655,9.721680604301168
235,16,0.023109031298294263,9.69712725854673
236,15,0.021664716842150874,9.674018227248437
237,14,0.02022040238600748,9.652353510406286
238,16,0.023109031298294263,9.632133108020279
239,14,0.02022040238600748,9.609024076721983
240,15,0.021664716842150874,9.588803674335976
241,17,0.024553345754437655,9.567138957493826
242,19,0.02744197466672444,9.542585611739387
243,20,0.02888628912286783,9.515143637072663
244,19,0.02744197466672444,9.486257347949795
245,65,0.09388043964932045,9.458815373283072
246,12,0.0173317734737207,9.364934933633752
247,6,0.00866588673686035,9.34760316016003
248,36,0.051995320421162096,9.33893727342317
249,15,0.021664716842150874,9.286941953002007
250,11,0.015887459017577307,9.265277236159857
251,23,0.033219232491298004,9.24938977714228
252,12,0.0173317734737207,9.216170544650982
253,13,0.01877608792986409,9.198838771177261
