researcher_id,full_name,community,modal_for_l2,modal_for_l4,modal_institution,modal_country,name_gender
ur.013474334024.50,Magdalena Sevilla-Gonzalez,1,Biological Sciences,Genetics,Massachusetts General Hospital,United States,Female
ur.013474421234.15,Wei Liu,39,Biomedical and Clinical Sciences,Clinical Sciences,Zhejiang Chinese Medical University,China,Male
ur.013474536754.51,Zhoufeng Ye,2,Biological Sciences,Epidemiology,University of Melbourne,Australia,Unknown
ur.013474553060.37,Andong Huang,33,Chemical Sciences,Biomedical Engineering,Guangzhou Medical University,China,Unknown
ur.01347477155.74,Dafina Petrova,2,Biomedical and Clinical Sciences,Nutrition and Dietetics,Andalusian School of Public Health,Spain,Female
ur.01347500074.21,Laura Almasy,3,Psychology,Biological Psychology,Children's Hospital of Philadelphia,United States,Female
ur.013475001676.01,Shimin Chen,138,Biomedical and Clinical Sciences,Clinical Sciences,Second Medical Center of PLA General Hospital,China,Unknown
ur.01347500635.15,Federico Murgia,23,Biomedical and Clinical Sciences,Epidemiology,University of Oxford,United Kingdom,Male
ur.013475011765.11,Xiaoqing Zhang,29,Health Sciences,Epidemiology,Zhengzhou University,China,Female
ur.013475016603.41,Naman S. Shetty,7,Biomedical and Clinical Sciences,Epidemiology,Massachusetts General Hospital,United States,Male
ur.01347507141.31,Michael P. Brenner,17,Information and Computing Sciences,Machine Learning,Harvard University,United States,Male
ur.01347510702.24,Yi Lu,25,Biological Sciences,Genetics,Guangzhou Medical University,China,Female
ur.013475311217.11,Glyn Lewis,1,Biological Sciences,Genetics,University College London,United Kingdom,Unknown
ur.01347537713.35,Helen M. Knight,3,Biological Sciences,Genetics,University of Nottingham,United Kingdom,Female
ur.013475416010.40,Laura Fulton,7,Biomedical and Clinical Sciences,Reproductive Medicine,Whipps Cross University Hospital,United Kingdom,Female
ur.01347550335.24,Bernhard Schölkopf,7,Biomedical and Clinical Sciences,Clinical Sciences,Max Planck Institute for Intelligent Systems,Germany,Male
ur.013475526446.72,Di Zhang,701,Biomedical and Clinical Sciences,Clinical Sciences,Hangzhou Medical College,China,Female
ur.01347561363.51,Sonja Klebe,8,Biomedical and Clinical Sciences,Ophthalmology and Optometry,Flinders University,Australia,Female
ur.013475616321.20,Ming-Chieh Tsai,335,Biomedical and Clinical Sciences,Clinical Sciences,National Taiwan University,Taiwan,Unknown
ur.013475707463.03,Catherine King,39,Biomedical and Clinical Sciences,Clinical Sciences,Adelaide University,Australia,Female
ur.013475741111.52,Hualei Cui,1179,Biomedical and Clinical Sciences,Clinical Sciences,Tianjin Children's Hospital,China,Unknown
ur.013475764736.77,Rob Charnock,4,Biological Sciences,Epidemiology,Craigavon Area Hospital,United Kingdom,Male
ur.013475771750.49,Lilia Dimitrov,9,Biomedical and Clinical Sciences,Clinical Sciences,University College London Hospitals NHS Foundation Trust,United Kingdom,Female
ur.013476062054.13,Qi-Xin Zhang,39,Biological Sciences,Genetics,Zhejiang University,China,Unknown
ur.013476074277.34,Tai Hing Lam,5,Biomedical and Clinical Sciences,Nutrition and Dietetics,University of Hong Kong,China,Male
ur.01347611376.66,Peter P De Deyn,19,Psychology,Biological Psychology,University Medical Center Groningen,Belgium,Male
ur.013476121660.27,Andrew S. Kao,6,Biomedical and Clinical Sciences,Cardiovascular Medicine and Haematology,"University of California, San Diego",United States,Male
ur.013476126076.26,Olukunle Akinborewa,6,Biological Sciences,Biochemistry and Cell Biology,University of Cincinnati,United States,Male
ur.01347615356.40,Samuel Lessard,13,Biological Sciences,Genetics,Sanofi Pasteur Biologics LLC,United States,Male
ur.013476212724.52,Fengmin Shao,46,Biomedical and Clinical Sciences,Epidemiology,Henan Provincial People's Hospital,China,Unknown
ur.013476216443.13,Jingwen Diao,88,Biomedical and Clinical Sciences,Oncology and Carcinogenesis,First Affiliated Hospital of Guangzhou Medical University,China,Unknown
ur.013476306425.56,Wenming Shi,25,Biomedical and Clinical Sciences,Clinical Sciences,University of Hong Kong,China,Unknown
