community,group_authors,leading_value,leading_value_authors,leading_value_share,top_three
206,14,Male,7,0.5,"Male (7, 50.0%); Female (4, 28.6%); Unknown (3, 21.4%)"
207,14,Unknown,8,0.5714285714285714,"Unknown (8, 57.1%); Male (5, 35.7%); Female (1, 7.1%)"
208,14,Unknown,7,0.5,"Unknown (7, 50.0%); Male (6, 42.9%); Female (1, 7.1%)"
209,14,Unknown,9,0.6428571428571429,"Unknown (9, 64.3%); Male (4, 28.6%); Female (1, 7.1%)"
210,14,Unknown,6,0.42857142857142855,"Unknown (6, 42.9%); Male (5, 35.7%); Female (3, 21.4%)"
211,14,Male,10,0.7142857142857143,"Male (10, 71.4%); Female (2, 14.3%); Unknown (2, 14.3%)"
212,14,Female,8,0.5714285714285714,"Female (8, 57.1%); Male (6, 42.9%)"
213,14,Unknown,7,0.5,"Unknown (7, 50.0%); Female (4, 28.6%); Male (3, 21.4%)"
214,14,Unknown,9,0.6428571428571429,"Unknown (9, 64.3%); Female (3, 21.4%); Male (2, 14.3%)"
215,14,Male,8,0.5714285714285714,"Male (8, 57.1%); Female (4, 28.6%); Unknown (2, 14.3%)"
216,14,Unknown,9,0.6428571428571429,"Unknown (9, 64.3%); Female (4, 28.6%); Male (1, 7.1%)"
217,13,Unknown,11,0.8461538461538461,"Unknown (11, 84.6%); Female (1, 7.7%); Male (1, 7.7%)"
218,13,Unknown,6,0.46153846153846156,"Unknown (6, 46.2%); Male (4, 30.8%); Female (3, 23.1%)"
219,13,Unknown,6,0.46153846153846156,"Unknown (6, 46.2%); Male (4, 30.8%); Female (3, 23.1%)"
220,13,Unknown,10,0.7692307692307693,"Unknown (10, 76.9%); Male (3, 23.1%)"
221,13,Female,7,0.5384615384615384,"Female (7, 53.8%); Male (6, 46.2%)"
222,13,Unknown,8,0.6153846153846154,"Unknown (8, 61.5%); Male (3, 23.1%); Female (2, 15.4%)"
223,13,Unknown,8,0.6153846153846154,"Unknown (8, 61.5%); Female (4, 30.8%); Male (1, 7.7%)"
224,13,Female,6,0.46153846153846156,"Female (6, 46.2%); Male (6, 46.2%); Unknown (1, 7.7%)"
225,13,Unknown,7,0.5384615384615384,"Unknown (7, 53.8%); Male (4, 30.8%); Female (2, 15.4%)"
226,13,Unknown,6,0.46153846153846156,"Unknown (6, 46.2%); Female (4, 30.8%); Male (3, 23.1%)"
227,13,Unknown,7,0.5384615384615384,"Unknown (7, 53.8%); Female (3, 23.1%); Male (3, 23.1%)"
228,13,Male,6,0.46153846153846156,"Male (6, 46.2%); Female (5, 38.5%); Unknown (2, 15.4%)"
229,13,Unknown,9,0.6923076923076923,"Unknown (9, 69.2%); Male (3, 23.1%); Female (1, 7.7%)"
230,13,Female,6,0.46153846153846156,"Female (6, 46.2%); Unknown (5, 38.5%); Male (2, 15.4%)"
231,13,Unknown,9,0.6923076923076923,"Unknown (9, 69.2%); Male (4, 30.8%)"
232,13,Unknown,7,0.5384615384615384,"Unknown (7, 53.8%); Female (4, 30.8%); Male (2, 15.4%)"
