L4_name,L2_name,papers,total_citations,mean_citations,total_altmetric,h_index,modal_researcher,unique_researchers,modal_org,unique_orgs,percent_female
Manufacturing Engineering,Engineering,1,0,0.0,0.0,0,David John Williams,3,Loughborough University,1,33.333333333333336
Building,Built Environment and Design,1,6,6.0,6.0,1,Christoph Arthofer,5,Wellcome Centre for Integrative Neuroimaging,1,0.0
Marketing,"Commerce, Management, Tourism and Services",1,7,7.0,17.0,1,Gideon Nave,2,,0,0.0
Physical Chemistry,Chemical Sciences,1,3,3.0,0.0,1,Jian Zhao,5,Shanghai Tenth People's Hospital,1,20.0
Sociology,Human Society,1,2,2.0,12.0,1,Boyan Zheng,4,University of Wisconsin-Madison,1,0.0
Law In Context,Law and Legal Studies,1,3,3.0,44.0,1,Galen Ives,3,University of Sheffield,1,33.333333333333336
Architecture,Built Environment and Design,1,2,2.0,1.0,1,Colin J Mcclean,5,UCL Institute of Child Health,2,40.0
Classical Physics,Physical Sciences,1,22,22.0,220.0,1,Andrei E Tarkhov,3,"Gero PTE, 60 Paya Lebar Road # 05-40B, Paya Lebar Square, 409051, Singapore",1,0.0
Geology,Earth Sciences,1,0,0.0,1.0,0,Beverley M Shields,3,Royal Devon & Exeter NHS Foundation Trust,2,66.66666666666667
Pure Mathematics,Mathematical Sciences,1,6,6.0,1.0,1,Hua Zhou,3,Seoul National University,2,0.0
Education Systems,Education,1,111,111.0,306.0,1,Anders Lundquist,24,Bispebjerg Hospital,19,29.166666666666668
Physical Geography and Environmental Geoscience,Earth Sciences,1,51,51.0,2.0,1,Chinmoy Sarkar,3,Cardiff University,2,0.0
Geomatic Engineering,Engineering,1,51,51.0,2.0,1,Chinmoy Sarkar,3,Cardiff University,2,0.0
Political Science,Human Society,1,0,0.0,5.0,0,Hai-Lun Liang,2,"Academy for Educational Development and Innovation, Hong Kong, China",3,0.0
